Date Submitted,Title,Submitted By,Link,TL;DR / One-liner,Problem Statement,Proposed Solution / Scope,Domain Experts Involved,Community Support,Intended Impact,Impact Area,Leverage / Multiplier Effect,Execution Readiness,Existing Funding,Dependencies / Risks,Review Notes,Reviewer Score
"August 15, 2025",Outcome Based Funding for Web3 Popups,thedevanshmehta,https://gov.gitcoin.co/t/outcome-based-funding-for-web3-popups-gg24-sensemaking-report/23054,"TLDR; Build a transparent & impact driven funding model for Web3 popups & residencies where each program is documented, evaluated & rewarded based on its contribution to Ethereum Require popup cities & residencies to publish Hypercerts with clear costs & documented outputs. Calculate an impact score","Problem & Impact Web3 popup residencies, ephemeral, IRL gatherings like Zuzalu, Edge City, and ZuBerlin, have rapidly become catalytic hubs for Ethereum’s ecosystem. They co-locate builders, researchers, and creatives, fostering innovation, cross-pollination, and collaboration across disciplines, essential for a remote first industry. Yet despite their growing influence, these gatherings face systemic friction: lack of transparent budgeting, diffuse impact measurement, and opaque coordination, i",,"an IRL coordination domain at scale that calculate impact scores of past popups, based on which funds get allocated Written by with help JamesFarrell and Devansh Mehta impact driven funding model for",https://gov.gitcoin.co/t/outcome-based-funding-for-web3-popups-gg24-sensemaking-report/23054,"Success Measurement & Reflection Six-month outcomes: Transparency baseline: Onboard 8 to 12 popups or residencies who mint a Hypercert of their past program with total cost and line-item breakdowns. Simply having the finances of past popups become transparent is a win in itself. Impact legibility: For every residency, ask for a submission of outputs that are attributable to them. Use these to comp",AI/ML,Standard impact,High,,", eth budget budget budget funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding cost cost cost cost cost cost cost cost cost cost cost cost cost cost",,
"August 15, 2025",Metafunding: Fund PGF Mechanisms & Research,daviddao,https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024,"Tl;dr (slightly ) Ethereum’s future hinges on elevating PGF into a high-ROI. The Metafunding domain will explore how to fund Ethereum forever by finally establishing academic rigor and feedback signals. In this report, we gathered millions of data points to show why we have to stop the PGF guesswork","Problem Statement Without targeted research funding in metafunding, Ethereum risks: Running PGF experiments without knowing which works best or why. Missing opportunities to integrate PGF into ecosystem growth strategies. Failing to attract serious academic engagement from economics, political science, and mechanism design. It’s about funding the mechanisms that fund the projects. Without dedicated investment in mechanism research, we risk a patchwork of small experiments without the scale, legi","These tools mirror the peer-review and evaluation infrastructure found in academia and traditional development — but adapted for the speed, transparency, and openness of crypto ecosystems. Peer review is particularly well-suited to PGF because it provides a structured, merit-based way to assess complex proposals, balance diverse perspectives, and justify funding decisions in a transparent manner. In traditional contexts, this process has been key to sustaining trust in how public resources are a","David Dao — CEO, GainForest round, which raised $4,117 OSS Dapps & Apps round OSS Infra round OSS DevTooling round 1600×638 135 KB Figure 9: Results from the DeepGov round with Regen Coordination in",https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024,What specific outcomes will show success within 6 months? How will we measure genuine impact beyond just activity metrics? What will make the Ethereum community genuinely glad we funded this domain long-term? Academic Engagement: Increase in the number of peer-reviewed PGF papers and conference presentations. Mechanism Improvement: Evidence of PGF experiments incorporating research findings and im,AI/ML,Standard impact,High,,"$4,117 $20,000 $50,000 , eth , eth , eth , eth budget budget funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding",,
"August 15, 2025",AI Builders Domain,thedevanshmehta,https://gov.gitcoin.co/t/ai-builders-domain-gg24-sensemaking-report/23049,,"Problem & Impact AI is everywhere, including in the onchain economy. Outcompeting the traditional world relies upon our ability to use LLMs in ways that are faster and better than the incumbents. We thus propose a domain dedicated to projects launched on Ethereum that have plans for integrating AI into their workflow. This will provide 3 benefits Give a sense for how projects in the ecosystem are planning to use AI Let us provide appropriate support for guiding upon its actual integration and de",,giving scores to each of them can simply talk to the AI for making decisions instead of having to read application forms (judges may optionally choose to see the context fed to the AI rather than sole,https://gov.gitcoin.co/t/ai-builders-domain-gg24-sensemaking-report/23049,"Success Measurement & Reflection Positive outcomes comprise actual launch and integration of AI capabilities in applicant projects. We also see follow-on funding from investors and mentorship on LLM use by experts as an important component Success is also measured in having a successful chatbot that can represent teams over time, marking an important step in moving beyond static grant applications",AI/ML,Standard impact,High,,funding funding funding funding,,
"August 15, 2025",Mechanism Builders Domain,thedevanshmehta,https://gov.gitcoin.co/t/mechanism-builders-domain-gg24-sensemaking-report/23042,,,"This proposal will be a domain Restricted to those who build funding infrastructure only Amounts will be distributed at end of 6 month period instead of beginning Allocations to each team will depend on actual value flowing through mechanisms, incentivizing adoption of their tech stack instead of rewarding those who simply build tech or can better discipline their community Why GG24?",approve or reject applications Deployment period starts where successful applicants are encouraged to get as much funding flowing through their onchain mechanism as possible At end of deployment perio,https://gov.gitcoin.co/t/mechanism-builders-domain-gg24-sensemaking-report/23042,,AI/ML,Standard impact,High,,"$10 $60 $40 $60 $100,000 $25,000 funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding",,
"August 15, 2025",DeFi Transparency and Decentralization Assessment,marcvlad,https://gov.gitcoin.co/t/gg24-sensemaking-report-defi-transparency-and-decentralization-assessment/22966,"TL;DR: This sensemaking report proposes a Gitcoin GG24 domain, “DeFi Transparency & Decentralization Assessment” (or “DeFi Curation”), to fund open-source tools, standards, and education for evaluating DeFi protocol maturity and risks via quadratic/retroactive funding, sub-rounds, and expert involve","Problem & Impact The specific Ethereum problem we are addressing is the lack of a standardized, verifiable framework for assessing decentralization and maturity levels of DeFi protocols. Many DeFi applications claim to be “decentralized,” but in reality, they often rely on centralized components such as admin keys, points of failure in governance, oracles, collaterals, or opaque smart contract implementations. This creates a “decentralization illusion,” where users believe they benefit from cens",,"could include the DeFiScan team, L2Beat contributors, and security/decentralization researchers from EVM and cybersecurity ecosystems adhering to the scientific method, public good funding, and the op",https://gov.gitcoin.co/t/gg24-sensemaking-report-defi-transparency-and-decentralization-assessment/22966,"We assess success with various metrics: % TVL Reviewed Growth of TVL in highly decentralized protocols. Number of Changes Made: Track 10+ protocol upgrades (e.g., reduced centralization risks, verified contracts, integrated standards in multisig, exit windows, and frontends. Important accounts following/mentioning decentralization and transparency framework through social media, official reports,",AI/ML,Standard impact,Low,,"$150 $1,000 $2,000, $50 $100 funding funding funding funding funding funding funding",,
"August 15, 2025",InfoFi,vaughnmck,https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038 ,"tl;dr Goal: Deploy crypto-focused information markets (excluding sports/politics) that generate over $1M in volume, establishing Ethereum as the hub for information finance. Ask: Run a Market Discovery Program using Butter to subsidize 10-15 experimental markets (prediction, advisory, decision, fund","Problem & Impact OpenAI, Anthropic, and Google increasingly mediate how society accesses and interprets information. Truth is becoming dangerously cheap to engineer. The 2024-2025 period marks an inflection point. ChatGPT and Claude are becoming the primary information interfaces for millions, bots overrun most social media feeds, and elections face broad misinformation campaigns. Meanwhile, Ethereum has matured enough to consider building alternatives.","Domain Proposal: The InfoFi Domain for GG24 Domain Experts: The Butter founding team brings deep operational expertise from running successful experiments generating $100M+ in TVL impact. Our advisory board includes Robin Hanson, Yiling Chen, and Bo Waggoner. Mechanism: We’ll use Butter, our own InfoFi venue. All allocation decisions derive from transparent, public market data. Structure: Rather than funding rounds, we’ll run a Market Discovery Program. Phase 1 deploys 10-15 subsidized informati",The Butter founding team brings deep operational expertise from running successful experiments generating $100M+ in TVL impact Deploy crypto focused information excluding sports that generate in volum,https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038 ,"Success Measurement & Reflection Our goal is to deploy a catalogue of crypto-focused information markets that do not include sports, politics, or price action, and generate $1M+ volume across all active markets. We’ll track forecast accuracy (comparing predictions to actuals) and user retention, and monitor for fraud, e.g., wash trading. We’ll introduce a mechanism for the community to contribute",AI/ML,Standard impact,High,,"$1 $16 $61 $0 $100 $77 $60 $1 $100 $5 , eth funding funding funding funding funding funding funding cost",,
"August 15, 2025",The EPIC Awards: Ethereum People’s Choice Awards,MoeNick,https://gov.gitcoin.co/t/the-epic-awards-ethereum-people-s-choice-awards-powered-by-pairwise/23033,"TL;DR We’re proposing the Ethereum People’s Choice Awards (EPIC Awards) for GG24 — a community-powered recognition layer for Ethereum. Using Pairwise’s proven “Tinder-style” pair comparisons, multi-stakeholder voting power, the EPICs make voting fun, fair, and viral. Delegations happen publicly via","Gitcoin 3.0 aims to build a “Network-First Funding Festival” where ecosystem-led rounds, decentralized legitimacy, and shared signals drive resources toward Ethereum’s most pressing needs. The EPIC Awards directly address Gitcoin’s priority problems — ensuring legitimacy comes from diverse voices via multi-stakeholder voting, tying recognition to proven impact through category-specific expertise, making participation fun and accessible with Pairwise’s low-friction UX, and producing public, priva",Research / Feedback / Category Scope: 1 week Project nomination / verification: 2 weeks Implementation on staging: 1 month Let’s co-create the EPICs We’d love your thoughts: What categories would get the best signal? What about comparing categories and rank them by “The top 5 categories” as the first step forward? What about using Pairwise for domain evaluation? — This could be a lightweight yet lasting signal layer in Ethereum — one that reflects the Gitcoin ethos and gives the community a voic,"Hey Gitcoin As Gitcoin takes shape where coordination is decentralized, rounds are and legitimacy comes from shared signals we want to offer cultural layer that aligns with this The EPIC Ethereum Peop",https://gov.gitcoin.co/t/the-epic-awards-ethereum-people-s-choice-awards-powered-by-pairwise/23033,,AI/ML,Standard impact,Low,,"$25,000 $25,000 , eth budget budget funding funding funding funding funding funding funding funding cost cost",,
"August 15, 2025",Open Civic Innovation,omniharmonic,https://gov.gitcoin.co/t/open-civic-innovation-gitcoin-3-0-sensemaking-report/23035,TL;DR,"Measurable Impact: Demonstrable improvements in democratic participation and problem-solving. Who will be the domain experts? The domain experts for Open Civic Innovation will include: OpenCivics Consortium: Innovators, organizers, and patrons from civic tech and non-profits. Academic Researchers: Scholars in political science, governance, and systems. Community Organizers: Veterans of grassroots and mutual aid networks. Web3 Pioneers: DAO and token governance leaders. Which mechanism(s) will yo","While the OpenCivics Consortium provides the deep domain expertise, community network, and framework for “Open Civic Innovation,” Gitcoin offers the established infrastructure, broad reach, and a recognized public goods ethos that lends critical legitimacy. Our combined efforts create a powerful attractor for resources into a domain that would otherwise remain chronically unfunded and fragmented. This synergy allows us to surface vital civic projects that are currently overlooked by traditional","to identify, nurture, and scale crucial innovations that benefit society at large, ultimately positioning Ethereum as the indispensable infrastructure for the next generation of civic participation an",https://gov.gitcoin.co/t/open-civic-innovation-gitcoin-3-0-sensemaking-report/23035,Success Measurement & Reflection Success for the “Open Civic Innovation” domain within GG24 will be measured by quantifiable outcomes that demonstrate genuine democratic innovation and civic impact. Mechanism Demonstration Metric: Successfully implement a pluralistic set of cutting edge mechanisms (see below) with publicly published reflections and reporting per mechanism. Measurement: Published r,AI/ML,Standard impact,High,,"$122,000 $50 $30 funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding",,
"August 15, 2025",Paradox Management for Ethereum Governance,mafer-cordovas,https://gov.gitcoin.co/t/gravitydao-v3-paradox-management-for-ethereum-governance-gitcoin-3-0-sensemaking-report/23032,TL;DR,"Problem & Impact The Critical Governance Crisis Shadow Hierarchy Paradox: Despite Ethereum’s open and permissionless narrative, decision-making authority concentrates within narrow, informal clusters. Current data reveals that 10 individuals propose 68% of all Core EIPs, while seven entities control 67% of all staked ETH (with Lido alone holding 30.5%). Similarly, less than 1% of token holders command over 90% of voting power in major DAOs, producing what researchers term a “digital plutocracy.”","We need funding to bridge academic research with practical implementation. This grant enables us to work full-time on developing solutions that will prevent the next major governance crisis in the Ethereum ecosystem. Success here creates a replicable model for governance health across all of web3. Our commitment to open-source development ensures that every dollar invested creates public goods that benefit the entire ecosystem, not just GravityDAO. We’re building the governance infrastructure th",at Gravity DAO addresses Ethereum critical governance crisis through based paradox management frameworks re developing source tools and methodologies to help DAOs navigate Shadow Hierarchy where power,https://gov.gitcoin.co/t/gravitydao-v3-paradox-management-for-ethereum-governance-gitcoin-3-0-sensemaking-report/23032,,AI/ML,Standard impact,Low,,20 eth budget funding cost,,
"August 15, 2025",OSS Domain: Developer Tooling & Core Infrastructure,mathildawrites,https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022,,"1. Problem & Impact Ethereum’s developer infrastructure is underfunded. The tools that secure billions in value receive minimal funding while user-facing applications attract most investment. Our interviews with ecosystem stakeholders showed that better tooling could prevent many hacks and vulnerabilities, yet these tools remain underfunded. Security incidents result in lost funds and erode trust, discouraging developers and enterprises from building on Ethereum. Nine of twelve stakeholders in o","The evidence from interviews, community proposals, and ecosystem data creates a clear mandate. Infrastructure is the foundation everything else is built on. The ecosystem recognizes this, but hasn’t translated that understanding into sustainable funding mechanisms.","selection is in progress, but these domains will be largely managed and run by Gitcoin core & Team Tiger, designing the domains alongside OSO and Deep Funding teams Gitcoin OSS Developer Tooling Core",https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022,"4. Success Measurement & Reflection Success in six months means improvements in infrastructure sustainability and developer experience. We’ll measure projects, focusing on predictable funding for twelve months forward, increased library downloads and tool adoption, and documented security improvements resulting from enhanced tooling support. Impact appears in developer testimonials and ecosystem b",AI/ML,Standard impact,Low,,funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding funding,,
