Date Submitted,Title,Submitted By,Link,TL;DR / One-liner,Problem Statement,Proposed Solution / Scope,Domain Experts Involved,Community Support,Intended Impact,Impact Area,Leverage / Multiplier Effect,Execution Readiness,Existing Funding,Dependencies / Risks,Review Notes,Reviewer Score
"August 15, 2025",Outcome Based Funding for Web3 Popups,thedevanshmehta,https://gov.gitcoin.co/t/outcome-based-funding-for-web3-popups-gg24-sensemaking-report/23054,"; Build a transparent & impact driven funding model for Web3 popups & residencies where each program is documented, evaluated & rewarded based on its contribution to Ethereum Require popup cities & residencies to publish Hypercerts with clear costs &","Web3 popup residencies, ephemeral, IRL gatherings like Zuzalu, Edge City, and ZuBerlin, have rapidly become catalytic hubs for Ethereum’s ecosystem. They co-locate builders, researchers, and creatives, fostering innovation, cross-pollination, and collaboration across disciplines, essential for a remote first industry. Yet despite their growing influence, these gatherings face systemic friction: lack of transparent budgeting, diffuse impact measurement, and opaque coordination, issues that direct","s to prove or measure this. Financial opacity is widespread, most residencies do not publish budgets, leaving funders in the dark. Impact stories circulate informally through whisper networks, but without systematic capture they remain anecdotal, limiting their usefulness for allocation. The remaining sections will tackle these issues, proposing a structure of hypercerts & benefit-cost scoring of popups that can provide a missing layer of impact legibility. This aligns with Gitcoin’s shift","@nidiyia, @JamesFarrell, Written by, with help, JamesFarrell and",https://gov.gitcoin.co/t/outcome-based-funding-for-web3-popups-gg24-sensemaking-report/23054,"& Reflection Six-month outcomes: Transparency baseline: Onboard 8 to 12 popups or residencies who mint a Hypercert of their past program with total cost and line-item breakdowns. Simply having the finances of past popups become transparent is a win in itself. Impact legibility: For every residency, ask for a submission of outputs that are attributable to them. Use these to compute a standardiz",Community,High leverage/multiplier,Medium,,"undervaluing some of its most fertile cultural and intellectual spaces, or worse funding them blindly in ways that invite reputational risk Gitcoin’s Unique Role & Fundraising Gitcoin has a history of",,
"August 15, 2025",Metafunding: Fund PGF Mechanisms & Research,daviddao,https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024,"(slightly ) Ethereum’s future hinges on elevating PGF into a high-ROI. The Metafunding domain will explore how to fund Ethereum forever by finally establishing academic rigor and feedback signals. In this report, we gathered millions of data points t","Without targeted research funding in metafunding, Ethereum risks: Running PGF experiments without knowing which works best or why. Missing opportunities to integrate PGF into ecosystem growth strategies. Failing to attract serious academic engagement from economics, political science, and mechanism design. It’s about funding the mechanisms that fund the projects. Without dedicated investment in mechanism research, we risk a patchwork of small experiments without the scale, legitimacy, and impa","s. As Kevin Owocki puts it: “We need a ‘Uniswap of PGF’ — a breakout success that proves it can work at scale. Right now, it’s a chicken-and-egg problem: no funding, no talent; no talent, no funding.” Why Metafunding Matters PGF is the “funding layer” for everything Ethereum cares about — protocol security, developer experience, user adoption, ecosystem resilience. Well-designed funding mechanisms have a multiplier effect: they make every funded project more impactful by allocating capital mor","Fund PGF, By GainForest, Funding the, Seer One, and the",https://gov.gitcoin.co/t/metafunding-fund-pgf-mechanisms-research-gitcoin-3-0-sensemaking-report/23024,"remain constrained by systemic challenges: PGF is often perceived as charity rather than high-ROI investment, there is little formal academic engagement to validate or improve designs, data quality is insufficient for robust analysis, and evaluator capacity limits scale and credibility. Without dedicated research and infrastructure, PGF risks becoming a series of isolated experiments with diminish",Governance,High leverage/multiplier,High,,"becoming a series of isolated experiments with diminishing engagement, as recent Gitcoin trends show. Metafunding proposes to address this by creating a Gitcoin Grants domain devoted to the rigorous s",,
"August 15, 2025",AI Builders Domain,thedevanshmehta,https://gov.gitcoin.co/t/ai-builders-domain-gg24-sensemaking-report/23049,,"AI is everywhere, including in the onchain economy. Outcompeting the traditional world relies upon our ability to use LLMs in ways that are faster and better than the incumbents. We thus propose a domain dedicated to projects launched on Ethereum that have plans for integrating AI into their workflow. This will provide 3 benefits Give a sense for how projects in the ecosystem are planning to use AI Let us provide appropriate support for guiding upon its actual integration and deployment by t",,"AI is, including in, the onchain, Outcompeting the, traditional world",https://gov.gitcoin.co/t/ai-builders-domain-gg24-sensemaking-report/23049,"& Reflection Positive outcomes comprise actual launch and integration of AI capabilities in applicant projects. We also see follow-on funding from investors and mentorship on LLM use by experts as an important component Success is also measured in having a successful chatbot that can represent teams over time, marking an important step in moving beyond static grant applications for judges and eval",AI/ML,High leverage/multiplier,High,,,,
"August 15, 2025",Mechanism Builders Domain,thedevanshmehta,https://gov.gitcoin.co/t/mechanism-builders-domain-gg24-sensemaking-report/23042,,"Ethereum as an onchain economy needs to solve its own public goods problem. Specifically, if a project or open source repo provides a value of $10 to 10 revenue generating organizations but requires $60 for its upkeep, it ends up getting underfunded despite a positive expected value of $40 to the ecosystem as a whole. No individual picking up the entire bill of $60 makes sense, but at the same time if the ecosystem supported the project everyone benefits more than if it was unsupported. As we st","s that have mandatory indirection without specific people or institutions written into the mechanism itself (a feature that grant making bodies lack) Open source and verifiable execution (such as quadratic funding) Keeping it simple with minimal changes (like protocol guild) We propose a domain around this theme both as a way of bringing together the small space of funding mechanism builders and also to create an incentive for more to join this niche. Eventually, we want all revenue gene","Ethereum as, an onchain, economy needs, to solve, its own",https://gov.gitcoin.co/t/mechanism-builders-domain-gg24-sensemaking-report/23042,"through emergence of funding mechanisms that can be credibly recommended for GG25 as they have proven their stripes in this round. Overall, we want more of the Ethereum ecosystem to move from grant allocations or committees towards credibly neutral funding mechanisms. We can measure whether the Ethereum community is glad we funded this domain based on whether we start to see more adoption of this",Funding/Meta,High leverage/multiplier,High,,"$10, $60, $40",,
"August 15, 2025",DeFi Transparency and Decentralization Assessment,marcvlad,https://gov.gitcoin.co/t/gg24-sensemaking-report-defi-transparency-and-decentralization-assessment/22966,"This sensemaking report proposes a Gitcoin GG24 domain, “DeFi Transparency & Decentralization Assessment” (or “DeFi Curation”), to fund open-source tools, standards, and education for evaluating DeFi protocol maturity and risks via quadratic/retroact","The specific Ethereum problem we are addressing is the lack of a standardized, verifiable framework for assessing decentralization and maturity levels of DeFi protocols. Many DeFi applications claim to be “decentralized,” but in reality, they often rely on centralized components such as admin keys, points of failure in governance, oracles, collaterals, or opaque smart contract implementations. This creates a “decentralization illusion,” where users believe they benefit from censorship-resistance","against censorship and traditional finance flaws. Without it, participation in DeFi feels like gambling, deterring long-term adoption and contradicting Ethereum’s ethos of empowerment through transparency and censorship-resistance. “Misnaming things is contributing to the world’s despair” – Albert Camus. Sensemaking Analysis The sensemaking process draws from diverse methodologies to differentiate genuinely decentralized DeFi protocols from those with hidden centralized permissions and dependenc","This sensemaking, report proposes, Gitcoin GG, DeFi Transparency, Decentralization Assessment",https://gov.gitcoin.co/t/gg24-sensemaking-report-defi-transparency-and-decentralization-assessment/22966,"& Reflection We assess success with various metrics: % TVL Reviewed Growth of TVL in highly decentralized protocols. Number of Changes Made: Track 10+ protocol upgrades (e.g., reduced centralization risks, verified contracts, integrated standards in multisig, exit windows, and frontends. Important accounts following/mentioning decentralization and transparency framework through social medi",DeFi,High leverage/multiplier,Medium,,"often fail visibility checks, contributing to billions in avoidable losses over time. Most community members who are not here for speculation have similar concerns. Vitalik warned us in Cannes (and ma",,
"August 15, 2025",InfoFi,vaughnmck,https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038 ,"Goal: Deploy crypto-focused information markets (excluding sports/politics) that generate over $1M in volume, establishing Ethereum as the hub for information finance. Ask: Run a Market Discovery Program using Butter to subsidize 10-15 experimental m","OpenAI, Anthropic, and Google increasingly mediate how society accesses and interprets information. Truth is becoming dangerously cheap to engineer. The 2024-2025 period marks an inflection point. ChatGPT and Claude are becoming the primary information interfaces for millions, bots overrun most social media feeds, and elections face broad misinformation campaigns. Meanwhile, Ethereum has matured enough to consider building alternatives. The evidence for information finance (InfoFi) as a solution","is compelling. Polymarket’s $16B+ cumulative volume demonstrates demand for truth-seeking mechanisms. Most importantly, information markets address the root cause of our information crisis: misaligned incentives. Traditional media optimizes for engagement and advertising revenue, not truth. InfoFi creates markets where accurate information pays, transforming truth from a public good into a profitable venture. That users continue to return month after month to these platforms, finding value years","Deploy crypto, focused information, excluding sports, that generate, in volume, establishing Ethereum",https://gov.gitcoin.co/t/infofi-domain-gg24-sensemaking-report/23038 ,"& Reflection Our goal is to deploy a catalogue of crypto-focused information markets that do not include sports, politics, or price action, and generate $1M+ volume across all active markets. We’ll track forecast accuracy (comparing predictions to actuals) and user retention, and monitor for fraud, e.g., wash trading. We’ll introduce a mechanism for the community to contribute to the market select",DeFi,High leverage/multiplier,High,,"$1M, $16, $61, , Eth, Funding Market, and 500K OP through the Optimism Grants Council—generating remarkable results: the futarchy cohort achieved $61",,
"August 15, 2025",The EPIC Awards: Ethereum People’s Choice Awards,MoeNick,https://gov.gitcoin.co/t/the-epic-awards-ethereum-people-s-choice-awards-powered-by-pairwise/23033,"We’re proposing the Ethereum People’s Choice Awards (EPIC Awards) for GG24 — a community-powered recognition layer for Ethereum. Using Pairwise’s proven “Tinder-style” pair comparisons, multi-stakeholder voting power, the EPICs make voting fun, fair,","s — ensuring legitimacy comes from diverse voices via multi-stakeholder voting, tying recognition to proven impact through category-specific expertise, making participation fun and accessible with Pairwise’s low-friction UX, and producing public, privacy-preserving attestations that become reusable ecosystem signals. By adding this cultural recognition layer alongside GG24, Gitcoin can close the “recognition gap” amplifying overlooked contributors and strengthening the shared narrative that guid",1 week Project nomination / verification: 2 weeks Implementation on staging: 1 month Let’s co-create the EPICs We’d love your thoughts: What categories would get the best signal? What about comparing categories and rank them by “The top 5 categories” as the first step forward? What about using Pairwise for domain evaluation? — This could be a lightweight yet lasting signal layer in Ethereum — one that reflects the Gitcoin ethos and gives the community a voice in who gets remembered. Contact,"@you, @moenick, @generalmagic, Hey Gitcoin, As Gitcoin",https://gov.gitcoin.co/t/the-epic-awards-ethereum-people-s-choice-awards-powered-by-pairwise/23033,", amplifying overlooked contributors, and creating a cultural moment that strengthens legitimacy in Gitcoin 3.0’s decentralized, ecosystem-led funding future. What are the EPIC Awards? A public vote to recognize the best of Ethereum in multiple categories — with nominations from the community and voting via Pairwise’s Tinder-style UX. Key features: Multiple award categories: We can collaborati",DeFi,High leverage/multiplier,Low,,"Pairwise is financial backed by GeneralMagic and Giveth Galaxy. But for initial setup and comms, this first version needs Gitcoin support. After the initial recognition and getting credibility as a re",,
"August 15, 2025",Open Civic Innovation,omniharmonic,https://gov.gitcoin.co/t/open-civic-innovation-gitcoin-3-0-sensemaking-report/23035,"This proposal outlines the critical need for “Open Civic Innovation” as a dedicated domain allocator within Gitcoin Grants 3.0 (GG24), focused on directing public goods funding towards participatory governance, civic technology, and democratic innova","Why now?: The Existential Imperative for Democratic Renewal Contemporary civic systems face declining trust, polarization, inadequate representation, and the inability of traditional governance to meet complex global challenges. Institutions suffer from opaque decision-making, limited participation, and disconnection from community needs. Rising authoritarianism, civic disengagement, and failures on climate, inequality, and technology highlight the urgency of democratic renewal. Traditional mech","s and the capital required to scale them. Through this collaborative model, Gitcoin and OpenCivics are not merely facilitating grants; they are co-creating a sustainable funding pipeline for the open civic renaissance. This partnership demonstrates how a leading public goods platform can work hand-in-hand with a specialized domain expert to identify, nurture, and scale crucial innovations that benefit society at large, ultimately positioning Ethereum as the indispensable infrastructure for the n","@opencivics, This proposal, outlines the, critical need, Open Civic",https://gov.gitcoin.co/t/open-civic-innovation-gitcoin-3-0-sensemaking-report/23035,& Reflection Success for the “Open Civic Innovation” domain within GG24 will be measured by quantifiable outcomes that demonstrate genuine democratic innovation and civic impact. Mechanism Demonstration Metric: Successfully implement a pluralistic set of cutting edge mechanisms (see below) with publicly published reflections and reporting per mechanism. Measurement: Published reflections and repo,Governance,High leverage/multiplier,High,,"related to governance centralization, user experience fragmentation, and the need for a purpose-driven narrative beyond speculative finance. This unique convergence creates a timely opportunity for Et",,
"August 15, 2025",Paradox Management for Ethereum Governance,mafer-cordovas,https://gov.gitcoin.co/t/gravitydao-v3-paradox-management-for-ethereum-governance-gitcoin-3-0-sensemaking-report/23032,GravityDAO v2 addresses Ethereum’s critical governance crisis through evidence-based paradox management frameworks. We’re developing open-source tools and methodologies to help DAOs navigate the “Shadow Hierarchy Paradox” - where power concentrates d,"The Critical Governance Crisis Shadow Hierarchy Paradox: Despite Ethereum’s open and permissionless narrative, decision-making authority concentrates within narrow, informal clusters. Current data reveals that 10 individuals propose 68% of all Core EIPs, while seven entities control 67% of all staked ETH (with Lido alone holding 30.5%). Similarly, less than 1% of token holders command over 90% of voting power in major DAOs, producing what researchers term a “digital plutocracy.” These concentrat","s for the Ethereum ecosystem. Problem & Impact The Critical Governance Crisis Shadow Hierarchy Paradox: Despite Ethereum’s open and permissionless narrative, decision-making authority concentrates within narrow, informal clusters. Current data reveals that 10 individuals propose 68% of all Core EIPs, while seven entities control 67% of all staked ETH (with Lido alone holding 30.5%). Similarly, less than 1% of token holders command over 90% of voting power in major DAOs, producing what researcher","addresses Ethereum, critical governance, crisis through, based paradox, management frameworks",https://gov.gitcoin.co/t/gravitydao-v3-paradox-management-for-ethereum-governance-gitcoin-3-0-sensemaking-report/23032,"The Critical Governance Crisis Shadow Hierarchy Paradox: Despite Ethereum’s open and permissionless narrative, decision-making authority concentrates within narrow, informal clusters. Current data reveals that 10 individuals propose 68% of all Core EIPs, while seven entities control 67% of all staked ETH (with Lido alone holding 30.5%). Similarly, less than 1% of token holders command over 90% of",Governance,High leverage/multiplier,High,,20 Eth,,
"August 15, 2025",OSS Domain: Developer Tooling & Core Infrastructure,mathildawrites,https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022,,"Ethereum’s developer infrastructure is underfunded. The tools that secure billions in value receive minimal funding while user-facing applications attract most investment. Our interviews with ecosystem stakeholders showed that better tooling could prevent many hacks and vulnerabilities, yet these tools remain underfunded. Security incidents result in lost funds and erode trust, discouraging developers and enterprises from building on Ethereum. Nine of twelve stakeholders in our sensemaking inter","s to prevent hacks, which in turn sacrifices Ethereum’s decentralization. The ecosystem loses millions to duplicated efforts as teams rebuild similar tooling independently. A new AI model saw millions of developers adopt it quickly, while Ethereum’s developer base remains orders of magnitude smaller. Better tooling could help close this gap. 2. Sensemaking Analysis We conducted structured interviews with stakeholders across the Ethereum ecosystem, including Ethereum Foundation representatives, i","Gitcoin OSS, Developer Tooling, Core Infrastructure, Sensemaking Report, developer infrastructure",https://gov.gitcoin.co/t/gitcoin-oss-domain-developer-tooling-core-infrastructure-gg24-sensemaking-report/23022,"& Reflection Success in six months means improvements in infrastructure sustainability and developer experience. We’ll measure projects, focusing on predictable funding for twelve months forward, increased library downloads and tool adoption, and documented security improvements resulting from enhanced tooling support. Impact appears in developer testimonials and ecosystem behavior changes. Succes",Infrastructure,High leverage/multiplier,High,,", limited monetization options for libraries and languages, and talent drain from infrastructure to commercial work. The evidence from interviews, community proposals, and ecosystem data creates a cle",,
